1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985,1,1.088,1,1,1,1.0902,1,1,1,1,1.0895,1,1,1,1,1,1,1,1,1.0985
1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0992,1,1.0892,1.0936,1,1,1,1
1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934,1,1,1,1.0942,1,1,1,1.0917,1.0884,1,1,1,1,1,1,1,1.0862,1,1,1.0934
1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1,1,1,1,1,1.088,1,1,1,1,1,1.0855,1,1.098,1.0832,1,1.0962,1,1,1.0844,1
1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1,1.0962,1,1.0805,1.0829,1,1.0954,1,1,1,1,1,1,1,1,1,1,1.0991,1.0956,1,1
1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0819,1.0885,1,1,1.0958,1,1.094,1,1,1,1
1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888,1,1.0979,1.0872,1,1,1,1,1,1,1,1,1.0824,1,1.0893,1,1,1.0827,1.085,1,1.0888
1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1,1,1.0849,1,1,1.0969,1,1,1.0884,1.0956,1,1,1.0828,1,1,1.0927,1,1,1,1,1
1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0805,1,1,1,1,1,1.0801,1,1,1,1
1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992,1,1,1,1,1.0844,1,1,1,1,1,1,1,1.0857,1,1,1,1,1,1.0987,1.0992
